Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"D22","SM4007PL","D_SOD-123F",166.500000,21.000000,270.000000,bottom
"D23","SM4007PL","D_SOD-123F",184.500000,21.000000,270.000000,bottom
"D24","SM4007PL","D_SOD-123F",220.500000,21.000000,270.000000,bottom
"D25","SM4007PL","D_SOD-123F",238.500000,21.000000,270.000000,bottom
"D26","SM4007PL","D_SOD-123F",256.500000,21.000000,270.000000,bottom
"D27","SM4007PL","D_SOD-123F",214.000000,41.250000,135.000000,bottom
"D28","SM4007PL","D_SOD-123F",226.000000,41.250000,135.000000,bottom
"D29","SM4007PL","D_SOD-123F",238.000000,41.250000,135.000000,bottom
"D30","SM4007PL","D_SOD-123F",250.000000,41.250000,135.000000,bottom
"D31","SM4007PL","D_SOD-123F",262.000000,41.250000,135.000000,bottom
"D32","SM4007PL","D_SOD-123F",280.000000,41.250000,135.000000,bottom
"D33","SM4007PL","D_SOD-123F",292.000000,41.250000,135.000000,bottom
"D34","SM4007PL","D_SOD-123F",214.000000,53.250000,135.000000,bottom
"D35","SM4007PL","D_SOD-123F",226.000000,53.250000,135.000000,bottom
"D36","SM4007PL","D_SOD-123F",238.000000,53.250000,135.000000,bottom
"D37","SM4007PL","D_SOD-123F",250.000000,53.250000,135.000000,bottom
"D38","SM4007PL","D_SOD-123F",262.000000,53.250000,135.000000,bottom
"D39","SM4007PL","D_SOD-123F",280.000000,53.250000,135.000000,bottom
"D40","SM4007PL","D_SOD-123F",292.000000,53.250000,135.000000,bottom
"D41","SM4007PL","D_SOD-123F",214.000000,65.250000,135.000000,bottom
"D42","SM4007PL","D_SOD-123F",226.000000,65.250000,135.000000,bottom
"D43","SM4007PL","D_SOD-123F",238.000000,65.250000,135.000000,bottom
"D44","SM4007PL","D_SOD-123F",250.000000,65.250000,135.000000,bottom
"D45","SM4007PL","D_SOD-123F",262.000000,65.250000,135.000000,bottom
"D46","SM4007PL","D_SOD-123F",280.000000,65.250000,135.000000,bottom
"D47","SM4007PL","D_SOD-123F",292.000000,65.250000,135.000000,bottom
"D48","15V BI TVS","D_SOD-123F",17.000000,79.550000,90.000000,bottom
"D49","15V ZENER","D_SOD-123",6.800000,77.400000,90.000000,bottom
"D50","6V BI TVS","D_SOD-123F",193.500000,74.750000,90.000000,bottom
"D51","6V BI TVS","D_SOD-123F",190.750000,74.750000,90.000000,bottom
"D52","6V BI TVS","D_SOD-123F",169.750000,87.500000,270.000000,bottom
"D53","6V BI TVS","D_SOD-123F",180.500000,86.400000,270.000000,bottom
"D54","1N4148","D_SOD-323_HandSoldering",27.275000,37.425000,0.000000,bottom
"D55","6V BI TVS","D_SOD-123F",154.600000,77.250000,180.000000,bottom
"D56","6V BI TVS","D_SOD-123F",166.250000,87.500000,270.000000,bottom
"D57","RED LED","LED_0603_1608Metric",37.950000,42.400000,0.000000,bottom
"D58","SM4007PL","D_SOD-123F",214.000000,77.250000,135.000000,bottom
"D59","SM4007PL","D_SOD-123F",226.000000,77.250000,135.000000,bottom
"D60","SM4007PL","D_SOD-123F",238.000000,77.250000,135.000000,bottom
"D61","SM4007PL","D_SOD-123F",250.000000,77.250000,135.000000,bottom
"D62","SM4007PL","D_SOD-123F",262.000000,77.250000,135.000000,bottom
"D63","SM4007PL","D_SOD-123F",280.000000,77.250000,135.000000,bottom
"D64","SM4007PL","D_SOD-123F",292.000000,77.250000,135.000000,bottom
"D202","SM4007PL","D_SOD-123F",22.500000,50.000000,90.000000,bottom
"D203","SM4007PL","D_SOD-123F",76.500000,50.000000,90.000000,bottom
"D204","SM4007PL","D_SOD-123F",49.500000,70.000000,90.000000,bottom
"D205","SM4007PL","D_SOD-123F",103.500000,70.000000,180.000000,bottom
"D206","1N4148W","D_SOD-123",62.500000,82.200000,180.000000,bottom
"FID7","Fiducial","Fiducial_1mm_Mask2mm",30.500000,87.500000,0.000000,bottom
"FID8","Fiducial","Fiducial_1mm_Mask2mm",6.500000,13.500000,0.000000,bottom
"FID9","Fiducial","Fiducial_1mm_Mask2mm",128.500000,87.500000,0.000000,bottom
"FID10","Fiducial","Fiducial_1mm_Mask2mm",130.500000,5.500000,0.000000,bottom
"FID11","Fiducial","Fiducial_1mm_Mask2mm",263.500000,86.500000,0.000000,bottom
"FID12","Fiducial","Fiducial_1mm_Mask2mm",292.500000,15.500000,0.000000,bottom
"J206","Conn_02x06","Harwin_M20-7810645_2x06_P2.54mm_Vertical_SolderHoles",194.530000,64.000000,270.000000,bottom
"J207","Conn_02x03","Harwin_M20-7810345_2x03_P2.54mm_Vertical_SolderHoles",155.160000,64.000000,270.000000,bottom
"L1","4.7uH","L_Sunlord_MWSA0518_5.4x5.2mm",10.550000,47.150000,180.000000,bottom
"L2","4.7uH","L_Sunlord_MWSA0518_5.4x5.2mm",18.000000,37.500000,90.000000,bottom
"Q1","AO4407A","SOIC-8_3.9x4.9mm_P1.27mm",11.900000,78.800000,90.000000,bottom
"R1","1k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",94.800000,70.000000,0.000000,bottom
"R2","1k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",82.550000,74.150000,90.000000,bottom
"R3","1k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",94.800000,41.500000,180.000000,bottom
"R4","47k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",62.050000,43.750000,180.000000,bottom
"R5","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",16.850000,66.500000,270.000000,bottom
"R6","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",39.050000,58.650000,270.000000,bottom
"R7","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",41.100000,58.650000,90.000000,bottom
"R8","40.2k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",10.600000,69.800000,180.000000,bottom
"R9","49.9k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",28.500000,34.900000,270.000000,bottom
"R10","100k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",10.950000,39.050000,90.000000,bottom
"R11","100k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",25.450000,16.200000,0.000000,bottom
"R12","0","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",9.500000,36.000000,180.000000,bottom
"R13","100k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",6.100000,80.700000,180.000000,bottom
"R14","100k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",4.100000,49.600000,180.000000,bottom
"R15","100k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",9.700000,67.000000,90.000000,bottom
"R16","100k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",73.550000,36.150000,90.000000,bottom
"R17","0","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",75.950000,39.500000,180.000000,bottom
"R18","16k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",25.850000,32.225000,180.000000,bottom
"R19","0","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",62.050000,36.150000,0.000000,bottom
"R20","22k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",14.950000,62.800000,90.000000,bottom
"R21","33k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",6.700000,64.700000,90.000000,bottom
"R22","270k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",5.000000,54.600000,90.000000,bottom
"R23","51k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",5.000000,58.300000,90.000000,bottom
"R24","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",3.100000,58.300000,90.000000,bottom
"R26","100k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",94.800000,46.550000,0.000000,bottom
"R27","100","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",25.450000,14.300000,180.000000,bottom
"R28","330","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",37.950000,44.300000,180.000000,bottom
"R29","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",66.550000,36.150000,180.000000,bottom
"R30","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",66.550000,38.050000,180.000000,bottom
"R31","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",71.650000,36.150000,90.000000,bottom
"R32","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",12.850000,39.050000,90.000000,bottom
"R202","2.2k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",94.800000,38.950000,180.000000,bottom
"R203","47k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",70.550000,67.450000,90.000000,bottom
"R204","47k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",71.450000,64.650000,0.000000,bottom
"R205","2.2k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",94.800000,36.400000,180.000000,bottom
"R206","2.2k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",37.950000,48.400000,180.000000,bottom
"R207","2.2k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",37.950000,46.350000,0.000000,bottom
"R208","100","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",25.450000,18.100000,180.000000,bottom
"R212","10","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",75.450000,80.450000,90.000000,bottom
"R213","33","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",73.550000,80.450000,270.000000,bottom
"R214","10","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",73.550000,85.400000,90.000000,bottom
"R215","33","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",75.450000,85.400000,90.000000,bottom
"R216","270","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",54.450000,74.450000,180.000000,bottom
"R217","220","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",63.000000,79.850000,180.000000,bottom
"R218","5.1k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",184.850000,84.300000,0.000000,bottom
"R219","5.1k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",184.850000,80.500000,180.000000,bottom
"R220","100","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",169.850000,82.400000,0.000000,bottom
